exp_id	algo	reward_type	lr	net_arch	action_high	total_timesteps	wall_time_min	best_val_reward	ppo_sharpe	sp_sharpe	excess_sharpe	ppo_annret	sp_annret	ppo_maxdd	ppo_vol	ppo_turnover	status
012_ppo_sharpe_w16_2m	PPO	sharpe	0.0001	[128, 64]	5.0	2000000	23.0	22.4078	2.1901	2.3801	-0.19	1.4445	1.5179	-0.4225	0.6596	0.3707	LOSS
013_ppo_sharpe_n_epochs10	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	13.6	99.4611	2.0568	2.3801	-0.3233	1.3177	1.5179	-0.4249	0.6407	0.1932	LOSS
018_ppo_sharpe_w16_scorebias1	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.8	6.2136	1.855	2.3801	-0.5251	1.2242	1.5179	-0.4304	0.6599	0.2475	LOSS
018_ppo_sharpe_w16_scorebias1	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	15.3211	1.9611	2.3801	-0.419	1.2895	1.5179	-0.4217	0.6575	0.2943	LOSS
021_ppo_excess_scorebias1	PPO	excess_return	0.0001	[128, 64]	5.0	1000000	11.3	0.178	1.7923	2.3801	-0.5878	1.1565	1.5179	-0.4409	0.6453	0.4098	LOSS
022_ppo_sharpe_total_w16	PPO	sharpe_total	0.0001	[128, 64]	5.0	1000000	11.5	-10.0999	2.0178	2.3801	-0.3623	1.3477	1.5179	-0.4247	0.6679	0.3293	LOSS
023_ppo_sharpe_w16_ent02	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	20.0368	2.2276	2.3801	-0.1525	1.4854	1.5179	-0.4238	0.6668	0.4256	LOSS
024_ppo_sharpe_w16_ent_low	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	22.0349	2.1451	2.3801	-0.235	1.3837	1.5179	-0.4216	0.645	0.2811	LOSS
028_ppo_tilt_sharpe_w16	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.7	15.3051	2.378	2.3801	-0.0021	1.5837	1.5179	-0.4151	0.666	0.3848	LOSS
030_ppo_portstate_sharpe	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.4	9.9612	2.018	2.3801	-0.3621	1.2829	1.5179	-0.4242	0.6357	0.0241	LOSS
034_sac_sharpe_w16	SAC	sharpe	0.0003	[256, 256]	5.0	300000	38.1	9.9126	2.3709	2.3801	-0.0093	1.7084	1.5179	-0.4081	0.7206	1.263	LOSS
029_ppo_tilt_ir_vs_baseline	PPO	ir_vs_baseline	0.0001	[128, 64]	5.0	1000000	11.5	29.8745	2.3652	2.3801	-0.0149	1.5091	1.5179	-0.4144	0.638	0.1648	LOSS
037_ppo_tilt_maxw010_sharpe	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	12.9	17.7367	2.2439	2.3801	-0.1362	1.4946	1.5179	-0.4381	0.6661	0.3819	LOSS
035_sac_tilt_sharpe	SAC	sharpe	0.0003	[256, 256]	5.0	300000	38.0	714.3197	1.5265	2.3801	-0.8537	0.9128	1.5179	-0.4124	0.598	1.5308	LOSS
036_ppo_tilt_5m	PPO	sharpe	0.0001	[128, 64]	5.0	5000000	58.1	15.3051	2.3852	2.3801	0.0051	1.5883	1.5179	-0.4147	0.6659	0.3842	WIN
038_ppo_tilt_ep104	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.5	15.3461	2.6952	2.3801	0.3151	1.819	1.5179	-0.4011	0.6749	0.4563	WIN
039_ppo_tilt_sw32	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.5	13.2767	2.3024	2.3801	-0.0777	1.534	1.5179	-0.4138	0.6663	0.3769	LOSS
040_ppo_tilt_action2	PPO	sharpe	0.0001	[128, 64]	2.0	1000000	11.7	14.7889	2.312	2.3801	-0.0681	1.5605	1.5179	-0.414	0.675	0.4504	LOSS
033_ppo_cost_anneal_sharpe	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	19.0375	2.2321	2.3801	-0.1481	1.4899	1.5179	-0.4253	0.6675	0.4283	LOSS
041_ppo_tilt_cost_anneal	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.8	15.1059	2.3522	2.3801	-0.0279	1.5528	1.5179	-0.4146	0.6601	0.3877	LOSS
042_ppo_tilt_ep104_seed43	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.8	1.3849	2.4092	2.3801	0.029	1.5153	1.5179	-0.4072	0.629	0.2105	WIN
043_ppo_tilt_ep104_seed44	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.8	14.5555	2.3618	2.3801	-0.0183	1.5139	1.5179	-0.4176	0.641	0.2288	LOSS
044_ppo_tilt_ep156	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.8	5.5659	2.5451	2.3801	0.165	1.7084	1.5179	-0.3922	0.6712	0.4623	WIN
045_ppo_tilt_ep104_5m	PPO	sharpe	0.0001	[128, 64]	5.0	5000000	58.4	15.3461	2.6985	2.3801	0.3184	1.8197	1.5179	-0.4008	0.6743	0.456	WIN
046_ppo_tilt_ep104_cap10	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	12.2	11.9919	2.7406	2.3801	0.3605	1.8373	1.5179	-0.4097	0.6704	0.4248	WIN
048_ppo_tilt_ep104_cap10_mcap	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	14.0	-8.8853	2.0645	2.3801	-0.3156	1.2227	1.5179	-0.3786	0.5922	0.7309	LOSS
049a_cap10_mcap_ds5	PPO	downside_penalty	0.0001	[128, 64]	5.0	1000000	13.7	-7.9213	1.9109	2.3801	-0.4692	1.1117	1.5179	-0.3719	0.5818	0.6429	LOSS
049b_cap10_mcap_ds10	PPO	downside_penalty	0.0001	[128, 64]	5.0	1000000	13.7	-15.5882	1.9328	2.3801	-0.4473	1.1294	1.5179	-0.3754	0.5843	0.6441	LOSS
049c_cap10_mcap_ds20	PPO	downside_penalty	0.0001	[128, 64]	5.0	1000000	13.5	-30.5895	2.1269	2.3801	-0.2532	1.2386	1.5179	-0.3736	0.5824	0.7454	LOSS
049d_cap10_mcap_ds50	PPO	downside_penalty	0.0001	[128, 64]	5.0	1000000	13.6	-76.1693	2.105	2.3801	-0.2752	1.247	1.5179	-0.3779	0.5924	0.7172	LOSS
