recipe,n,tot,ann,vol,sh,mdd,cal
x6_quality_only_5__K100__mcap,806,9.45998469957981,0.16352627945286224,0.17412002589806214,0.939158368541698,-0.3232577206232443,0.5058696792688566
x8_v6_60_40__K50__mcap,806,10.158991747991221,0.16839235559630983,0.1803908621858006,0.9334860621868283,-0.3950412486779823,0.4262652473883171
x8_v6_60_40__K100__mcap,806,9.179329040349515,0.16148642658939316,0.17342286966828172,0.9311714590946382,-0.38933510335984567,0.41477489493193276
x1_full_value_quality__K100__mcap,806,10.000305351050924,0.16731321629166462,0.1797576896385271,0.9307708428391189,-0.40225370814707306,0.41593952498876935
x8_v6_60_40__K30__equal,806,13.459751422922132,0.18808930273616364,0.2027071524736352,0.9278868576708323,-0.46892619777482525,0.40110640784988233
x6_quality_only_5__K30__mcap,806,10.367728847087632,0.16979020623374752,0.19227349783329553,0.8830660915159435,-0.37499404035773765,0.45278107905867165
x7_v6_plus_fcf_margin__K30__equal,806,11.890534537898487,0.1793165203983953,0.20389720220260202,0.8794457131403786,-0.44978537121612416,0.398671303856685
x3_v6_plus_cfp__K30__equal,806,13.815981826469027,0.1899562541680131,0.21621818561743872,0.8785396733654419,-0.4935789408487218,0.38485485997716673
x3_v6_plus_cfp__K100__mcap,806,8.133624290884296,0.15339211202091962,0.17489315202046835,0.8770618531877544,-0.4010419666661498,0.38248394125947416
x6_quality_only_5__K30__equal,806,9.73232650289629,0.16545733395036843,0.1899338531250795,0.8711313503517868,-0.364666711355625,0.45372206674772003
x2_v6_plus_bp__K30__equal,806,14.166877238484878,0.19175463529797243,0.2207599263816213,0.868611610997241,-0.5227401883260117,0.3668258909115725
x12_balanced_2v_2q__K30__equal,806,11.713004458744454,0.17826185834431452,0.207239094539039,0.8601748562008611,-0.502352407782537,0.3548541931573307
x11_v6_plus_gm__K100__mcap,806,7.789529833539735,0.15053811178479326,0.17513443855569122,0.8595574521279746,-0.3692234466788331,0.4077154718609676
x6_quality_only_5__K50__mcap,806,8.69120457306772,0.15780994314318808,0.18405851398200967,0.8573900751943092,-0.35984453626063684,0.43855033838525675
x11_v6_plus_gm__K30__mcap,806,9.8772703915503,0.1664664529502431,0.1957140488984348,0.850559547907725,-0.42837481703238034,0.3885999977857244
x12_balanced_2v_2q__K50__mcap,806,9.174200849963144,0.1614486667805599,0.1899774867595882,0.8498305222074508,-0.43241702036569307,0.37336334875075805
x12_balanced_2v_2q__K100__mcap,806,8.073748265983184,0.15290279493306835,0.18080541530742408,0.8456759697882233,-0.4159643292293038,0.3675863149524521
x7_v6_plus_fcf_margin__K50__mcap,806,8.119128464188673,0.15327392555912223,0.18216798026663497,0.8413878516673391,-0.3949209107513748,0.3881129648655573
x2_v6_plus_bp__K30__mcap,806,11.142963473437003,0.17477969498734525,0.2077884430373807,0.8411425218480643,-0.4944081046282416,0.3535130054527862
x1_full_value_quality__K50__mcap,806,10.17241801470738,0.16848300042495867,0.20125254078771607,0.8371720414833264,-0.43857237503995294,0.3841623641015015
x12_balanced_2v_2q__K30__mcap,806,9.379020992769401,0.16294312819836043,0.195582688206757,0.8331163135773438,-0.4617696683979249,0.3528666765049323
